State,Salary Parity,Requirements,Guidelines or Plans,Earmarks,Stipend/ Tax Credit,Bonus,Status
Alabama,Parity (all),No,"Yes:
Plans only",No,No,Yes,Edging Forward
Alaska,Sub-Parity (some),No,"Yes:
Plans only",Yes,No,No,Stalled
Arizona,No Parity,No,No,No,No,Yes,Stalled
Arkansas,No Parity,No,No,No,No,Yes,Stalled
California,Parity (some),No,"Yes:
Plans only",No,No,No,Stalled
Colorado,No Parity,No,"Yes:
Plans only",No,No,Yes,Stalled
Connecticut,No Parity,No,"Yes:
Plans only",No,No,Yes,Stalled
Delaware,Parity (some),No,No,No,Yes,Yes,Edging Forward
District of Columbia,Parity (some),No,Yes: Guidelines,No,Yes,Yes,Edging Forward
Florida,No Parity,No,No,No,No,Yes,Stalled
Georgia,Parity (some),No,No,No,Yes,Yes,Edging Forward
Hawaii,Parity (all),No,No,No,No,No,Stalled
Idaho,Not Applicable,No,No,No,No,Yes,Stalled
Illinois,No Parity,No,Yes: Guidelines,No,Yes,No,Stalled
Indiana,Not Applicable,No,No,No,No,Yes,Stalled
Iowa,Parity (some),No,No,No,No,Yes,Stalled
Kansas,No Parity,No,No,No,No,No,Stalled
Kentucky,Parity (some),No,No,No,No,No,Stalled
Louisiana,No Parity,No,No,No,Yes,No,Stalled
Maine,Parity (some),No,No,No,No,Yes,Stalled
Maryland,Parity (some),No,No,No,Yes,No,Stalled
Massachusetts,No Parity,No,No,Yes,No,No,Stalled
Michigan,No Parity,No,No,No,No,Yes,Stalled
Minnesota,Partial Parity (some),No,"Yes:
Plans only",No,Yes,Yes,Stalled
Mississippi,Parity (some),No,No,No,No,No,Stalled
Missouri,Sub-Parity (some),No,No,No,No,Yes,Stalled
Montana,Parity (some),No,No,Yes,No,Yes,Stalled
Nebraska,No Parity,No,"Yes:
Plans only",No,Yes,Yes,Stalled
Nevada,Parity (all),No,"Yes:
Plans only",No,No,Yes,Edging Forward
New Hampshire,Not Applicable,No,No,No,No,No,Stalled
New Jersey,Parity (all),No,"Yes:
Plans only",No,No,No,Stalled
New Mexico,Parity (some),No,No,No,Yes,No,Stalled
New York,No Parity,No,No,No,No,No,Stalled
North Carolina,Parity (some),No,Yes: Guidelines,No,Yes,Yes,Edging Forward
North Dakota,No Parity,No,No,No,No,No,Stalled
Ohio,No Parity,No,Yes: Plans only,No,No,Yes,Stalled
Oklahoma,Parity (all),No,Yes: Plans only,No,No,Yes,Edging Forward
Oregon,No Parity,No,Yes: Guidelines,No,No,Yes,Stalled
Pennsylvania,No Parity,No,No,No,No,Yes,Stalled
Rhode Island,Parity (all),No,Yes: Guidelines,No,No,Yes,Edging Forward
South Carolina,Parity (some),No,No,No,No,Yes,Stalled
South Dakota,Not Applicable,No,No,No,No,No,Stalled
Tennessee,Parity (some),No,No,No,Yes,No,Stalled
Texas,Parity (some),No,Yes: Plans only,No,No,Yes,Stalled
Utah,Not Applicable,No,No,No,No,Yes,Stalled
Vermont,Parity (some),No,Yes: Guidelines,No,No,Yes,Edging Forward
Virginia,Parity (some),No,Yes: Plans only,No,No,No,Stalled
Washington,No Parity,No,Yes: Guidelines,No,No,Yes,Stalled
West Virginia,Parity (some),No,No,No,No,Yes,Stalled
Wisconsin,No Parity,No,No,No,Yes,Yes,Stalled
Wyoming,Not Applicable,No,No,No,No,No,Stalled
