state,parity,value
Alabama,Parity (all),1
Alaska,Sub-Parity (some),0
Arizona,No Parity,0
Arkansas,No Parity,0
California,Parity (some),0
Colorado,No Parity,0
Connecticut,No Parity,0
Delaware,Parity (some),1
District of Columbia,Parity (some),1
Florida,No Parity,0
Georgia,Parity (some),1
Hawaii,Parity (all),0
Idaho,Not Applicable,0
Illinois,No Parity,0
Indiana,Not Applicable,0
Iowa,Parity (some),0
Kansas,No Parity,0
Kentucky,Parity (some),0
Louisiana,No Parity,0
Maine,Parity (some),0
Maryland,Parity (some),0
Massachusetts,No Parity,0
Michigan,No Parity,0
Minnesota,Partial Parity (some),0
Mississippi,Parity (some),0
Missouri,Sub-Parity (some),0
Montana,Parity (some),0
Nebraska,No Parity,0
Nevada,Parity (all),1
New Hampshire,Not Applicable,0
New Jersey,Parity (all),0
New Mexico,Parity (some),0
New York,No Parity,0
North Carolina,Parity (some),1
North Dakota,No Parity,0
Ohio,No Parity,0
Oklahoma,Parity (all),1
Oregon,No Parity,0
Pennsylvania,No Parity,0
Rhode Island,Parity (all),1
South Carolina,Parity (some),0
South Dakota,Not Applicable,0
Tennessee,Parity (some),0
Texas,Parity (some),0
Utah,Not Applicable,0
Vermont,Parity (some),1
Virginia,Parity (some),0
Washington,No Parity,0
West Virginia,Parity (some),0
Wisconsin,No Parity,0
Wyoming,Not Applicable,0
